03000000	Prodotti dell'agricoltura, dell'allevamento, della pesca, della silvicoltura e prodotti affini
03100000	Prodotti dell'agricoltura e dell'orticoltura
03110000	Prodotti agricoli, prodotti dell'ortofrutticoltura commerciale
03111000	Semi
03111100	Semi di soia
03111200	Semi di arachidi
03111300	Semi di girasole
03111400	Semi di cotone
03111500	Semi di sesamo
03111600	Semi di senape
03111700	Semi di ortaggi
03111800	Semi di piante e arbusti da frutto
03111900	Semi di fiori
03112000	Tabacchi non lavorati
03113000	Piante utilizzate per la produzione di zucchero
03113100	Barbabietole da zucchero
03113200	Canna da zucchero
03114000	Paglia e piante foraggere
03114100	Paglia
03114200	Piante foraggere
03115000	Materie prime vegetali
03115100	Materie prime vegetali usate per la produzione tessile
03115110	Cotone
03115120	Iuta
03115130	Lino
03116000	Gomma naturale, lattice e prodotti affini
03116100	Gomma naturale
03116200	Piante utilizzate per la preparazione di fungicidi o simili
03116300	Prodotti di lattice
03117000	Piante utilizzate in settori specifici
03117100	Piante utilizzate in profumeria o farmacia, o per la preparazione di insetticidi o simili
03117110	Piante utilizzate in profumeria
03117120	Piante utilizzate in farmacia
03117130	Piante utilizzate per la preparazione di insetticidi
03117200	Semi di piante utilizzate in settori specifici
03120000	Prodotti dell'orticoltura e di vivai
03121000	Prodotti orticoli
03121100	Piante vive, bulbi, radici, talee e marze
03121200	Fiori recisi
03121210	Composizioni floreali
03130000	Raccolti utilizzati per la preparazione di bevande e di spezie
03131000	Piante utilizzate per la preparazione di bevande
03131100	Chicchi di caffè
03131200	Piante del tè
03131300	Mate
03131400	Semi di cacao
03132000	Spezie non preparate
03140000	Prodotti animali e prodotti affini
03141000	Sperma bovino
03142000	Prodotti di origine animale
03142100	Miele naturale
03142200	Lumache
03142300	Prodotti commestibili di origine animale
03142400	Cere
03142500	Uova
03143000	Prodotti della policoltura
03144000	Prodotti agricoli
03200000	Cereali, patate, verdura, frutta e noci
03210000	Cereali e patate
03211000	Cereali
03211100	Frumento
03211110	Frumento duro
03211120	Frumento tenero
03211200	Granturco
03211300	Riso
03211400	Orzo
03211500	Segale
03211600	Avena
03211700	Malto
03211900	Prodotti a base di cereali
03212000	Patate e ortaggi secchi
03212100	Patate
03212200	Legumi secchi e leguminose da granella
03212210	Legumi da granella secchi
03212211	Lenticchie
03212212	Ceci
03212213	Piselli secchi
03212220	Leguminose
03220000	Verdura, frutta e noci
03221000	Ortaggi
03221100	Radici e tuberi
03221110	Radici
03221111	Barbabietole
03221112	Carote
03221113	Cipolle
03221114	Rape
03221120	Tuberi
03221200	Ortaggi a frutto
03221210	Fagioli
03221211	Fave
03221212	Fagiolini
03221213	Fagioli di Spagna
03221220	Piselli
03221221	Piselli freschi
03221222	Taccole
03221230	Peperoni
03221240	Pomodori
03221250	Zucchine
03221260	Funghi
03221270	Cetrioli
03221300	Ortaggi da foglia
03221310	Lattuga
03221320	Foglie di insalata
03221330	Carciofi
03221340	Spinaci
03221400	Cavoli
03221410	Cavoli cappuccio
03221420	Cavolfiori
03221430	Broccoli
03221440	Cavoli di Bruxelles
03222000	Frutta e frutta con guscio
03222100	Frutta e frutta con guscio tropicali
03222110	Frutta tropicale
03222111	Banane
03222112	Ananas
03222113	Manghi
03222114	Datteri
03222115	Uva passa
03222116	Fichi
03222117	Avocado
03222118	Kiwi
03222120	Noci di cocco
03222200	Agrumi
03222210	Limoni
03222220	Arance
03222230	Pompelmi
03222240	Tangerini
03222250	Limette
03222300	Frutta non tropicale
03222310	Bacche
03222311	Uve secche di Corinto
03222312	Uva spina
03222313	Fragole
03222314	Lamponi
03222315	Mirtilli rossi
03222320	Mele, pere e mele cotogne
03222321	Mele
03222322	Pere
03222323	Mele cotogne
03222330	Frutta con nocciolo
03222331	Albicocche
03222332	Pesche
03222333	Ciliege
03222334	Prugne
03222340	Uva
03222341	Uva da tavola
03222342	Uva da vino
03222400	Olive
03300000	Prodotti dell'allevamento, della caccia e della pesca
03310000	Pesce, crostacei e prodotti acquatici
03311000	Pesce
03311100	Pesce piatto
03311110	Sogliola
03311120	Platessa
03311200	Pesci affini al merluzzo
03311210	Merluzzo
03311220	Merlano nero
03311230	Nasello
03311240	Eglefino
03311300	Aringa
03311400	Tonno
03311500	Merlano
03311600	Bianchetti
03311700	Salmone
03312000	Crostacei
03312100	Ostriche
03312200	Molluschi
03312300	Invertebrati acquatici
03313000	Prodotti acquatici
03313100	Corallo e prodotti affini
03313200	Spugne naturali
03313300	Alghe marine
03313310	Alghe
03320000	Bovini, bestiame e animali piccoli
03321000	Bovini
03321100	Bestiame bovino
03321200	Vitelli
03322000	Bestiame
03322100	Ovini
03322200	Caprini
03322300	Cavalli
03323000	Suini
03324000	Pollame vivo
03325000	Animali piccoli
03325100	Conigli
03325200	Lepri
03330000	Prodotti di animali di allevamento
03331000	Latte di pecora e di capra fresco
03331100	Latte di pecora
03331200	Latte di capra
03332000	Lana e pelo
03332100	Lana di tosa
03332200	Pelo
03333000	Latte di vacca fresco
03340000	Marchi per animali
03341000	Marchi per bovini
03400000	Prodotti della silvicoltura e dello sfruttamento forestale
03410000	Legname
03411000	Legname di conifere
03412000	Legname tropicale
03413000	Legna da ardere
03414000	Legname grezzo
03415000	Legname tenero
03416000	Cascame di legno
03417000	Scarti di legno
03417100	Segatura
03418000	Tronchi
03418100	Legno duro
03419000	Legname industriale
03419100	Prodotti di legname
03419200	Legname per miniere
03420000	Gomme
03421000	Balsami
03422000	Lacca
03430000	Sughero
03431000	Sughero naturale
03432000	Articoli da panieraio
03432100	Lavori di panieraio
03440000	Prodotti della silvicoltura
03441000	Piante, erbe, muschi o licheni ornamentali
03450000	Prodotti vivaistici
03451000	Piante
03451100	Piante da trapiantare
03451200	Bulbi
03451300	Arbusti
03452000	Alberi
03460000	Pasta da carta
03461000	Pasta di legno
03461100	Pasta di legno chimica
09000000	Prodotti derivati dal petrolio, combustibili, elettricità e altre fonti di energia
09100000	Combustibili
09110000	Combustibili solidi
09111000	Carbone e combustibili a base di carbone
09111100	Carbone
09111200	Prodotti combustibili del carbone
